pump,liquid,known_viscosity_cP,cycle_number,A,B,tau_normalized,tau_physical,tau,A_error,B_error,tau_normalized_error,tau_physical_error,tau_error,r_squared,rmse,cycle_duration,cycle_amplitude,time_span_normalized,time_span_physical
3-Roller Pump,F12500,12500.0,4,-0.0016121212121212097,0.1505844155844092,0.48223589473795236,53.04594842117476,53.04594842117476,0.0026204323091627364,0.019327689812228446,0.04095299702572823,4.504829672830105,4.504829672830105,0.5690115755783336,0.009627901436893063,110.0,0.051000000000000004,0.9545454545454546,105.0
3-Roller Pump,F12500,12500.0,5,-0.0016402597402597379,0.15157142857124997,0.4750479124003078,51.78022245163355,51.78022245163355,0.0027638284799498002,0.02051610559929452,0.04216186848945371,4.595643665350455,4.595643665350455,0.5475435925293318,0.010073656241677234,109.0,0.052000000000000005,0.9541284403669725,104.0
3-Roller Pump,F12500,12500.0,6,-0.0018151515151515123,0.15099999999919714,0.47286881321280005,52.015569453408006,52.015569453408006,0.002634672424375398,0.019570141526854334,0.04007273282978914,4.4080006112768055,4.4080006112768055,0.5583038586270077,0.009632319990567179,110.0,0.05,0.9545454545454546,105.0
4-Roller Pump,CF955,1.0,1,-0.0026562770562770523,0.12546729872166595,0.5999416432088924,48.29530227831584,48.29530227831584,0.004330448938560575,0.02923484118971925,0.11088551972431619,8.926284337807454,8.926284337807454,0.49542489900634656,0.014283589949873266,80.5,0.248,0.937888198757764,75.5
4-Roller Pump,CF955,1.0,2,-0.00332467532467532,0.13419735054458404,0.565945552025983,45.84158971410462,45.84158971410462,0.004285435018885006,0.02937340036899751,0.09452098419487505,7.656199719784879,7.656199719784879,0.4891212370107061,0.014010768438533962,81.0,0.218,0.9382716049382716,76.0
4-Roller Pump,CF955,1.0,3,-0.002869264069264065,0.1398020737187949,0.5547095689656447,44.6541203017344,44.6541203017344,0.0043451849529992466,0.030172341729780373,0.08958454483200361,7.211555858976291,7.211555858976291,0.5083682307830171,0.01410255373057771,80.5,0.21999999999999997,0.937888198757764,75.5
4-Roller Pump,CF955,1.0,4,-0.0029216450216450174,0.1330431917494666,0.5838404978232277,46.4153195769466,46.4153195769466,0.004263099160049275,0.02909509797567031,0.09942719423583549,7.904461941748921,7.904461941748921,0.508331233795306,0.013892532142489884,79.5,0.21200000000000002,0.9371069182389937,74.5
4-Roller Pump,CF955,1.0,5,-0.0029324675324675278,0.1227297433478224,0.6365128108971881,51.55753768267224,51.55753768267224,0.0042830485250356905,0.02828463622682419,0.12204211518390029,9.885411329895923,9.885411329895923,0.4835214627490254,0.014332635812742394,81.0,0.23199999999999998,0.9382716049382716,76.0
4-Roller Pump,CF955,1.0,6,-0.002741991341991338,0.1296405140336243,0.5870627855132127,47.84561701932683,47.84561701932683,0.004250432908567979,0.028875677088113103,0.10196387294646535,8.310055645136925,8.310055645136925,0.4859834752068044,0.014043650527666478,81.5,0.232,0.9386503067484663,76.5
4-Roller Pump,CF955,1.0,7,-0.003389610389610385,0.1463585744500308,0.5515648667289037,43.57362447158339,43.57362447158339,0.004485193208382944,0.031143427120703292,0.08786828213198727,6.9415942884269946,6.9415942884269946,0.5040739056979116,0.014404054565033885,79.0,0.23399999999999999,0.9367088607594937,74.0
