time_s,0.0_ml_min,0.1_ml_min,0.2_ml_min,0.3_ml_min,0.4_ml_min
289,0.079,0.065,0.048,-0.009,0.07
289.5,0.082,0.055,0.045,-0.01,0.065
290,0.084,0.053,0.04,-0.011,0.065
290.5,0.078,0.046,0.057,-0.013,0.065
291,0.08,0.055,0.061,0.002,0.065
291.5,0.076,0.06,0.065,0.014,0.069
292,0.075,0.068,0.07,0.022,0.062
292.5,0.077,0.075,0.071,0.026,0.058
293,0.078,0.078,0.072,0.032,0.055
293.5,0.078,0.085,0.07,0.034,0.046
294,0.072,0.086,0.07,0.043,0.048
294.5,0.072,0.087,0.064,0.047,0.055
295,0.067,0.085,0.06,0.047,0.066
295.5,0.06,0.076,0.061,0.046,0.07
296,0.056,0.077,0.05,0.043,0.073
296.5,0.048,0.071,0.059,0.048,0.072
297,0.056,0.082,0.059,0.051,0.07
297.5,0.067,0.085,0.057,0.056,0.077
298,0.072,0.077,0.049,0.06,0.075
298.5,0.077,0.072,0.041,0.06,0.075
299,0.075,0.065,0.034,0.056,0.075
299.5,0.074,0.062,0.026,0.05,0.065
300,0.071,0.053,0.032,0.049,0.07
300.5,0.07,0.047,0.033,0.053,0.068
301,0.066,0.055,0.036,0.062,0.073
301.5,0.064,0.062,0.039,0.063,0.068
302,0.068,0.073,0.036,0.058,0.064
302.5,0.064,0.072,0.043,0.067,0.058
303,0.065,0.078,0.041,0.065,0.05
303.5,0.062,0.079,0.04,0.074,0.058
304,0.06,0.076,0.036,0.082,0.062
304.5,0.058,0.076,0.03,0.081,0.065
305,0.051,0.07,0.022,0.079,0.066
305.5,0.045,0.067,0.021,0.072,0.061
306,0.036,0.059,0.029,0.07,0.069
306.5,0.036,0.058,0.033,0.068,0.067
307,0.047,0.066,0.033,0.065,0.071
307.5,0.051,0.065,0.032,0.074,0.074
308,0.057,0.07,0.026,0.064,0.067
308.5,0.055,0.064,0.025,0.067,0.064
309,0.059,0.057,0.018,0.06,0.065
309.5,0.055,0.048,0.017,0.057,0.065
310,0.051,0.04,0.024,0.063,0.066
310.5,0.05,0.04,0.026,0.062,0.064
311,0.044,0.048,0.029,0.059,0.06
311.5,0.042,0.063,0.034,0.061,0.05
312,0.043,0.077,0.036,0.071,0.054
312.5,0.041,0.08,0.034,0.073,0.047
313,0.04,0.083,0.029,0.077,0.043
313.5,0.038,0.074,0.025,0.077,0.052
314,0.036,0.073,0.015,0.066,0.053
314.5,0.031,0.057,0.01,0.072,0.055
315,0.029,0.05,0.012,0.066,0.053
315.5,0.024,0.044,0.02,0.065,0.055
316,0.024,0.037,0.024,0.066,0.056
316.5,0.031,0.054,0.019,0.06,0.056
317,0.031,0.062,0.016,0.065,0.055
317.5,0.037,0.064,-0.007,0.063,0.046
318,0.037,0.057,-0.067,0.064,0.049
318.5,0.04,0.044,-0.158,0.059,0.045
319,0.039,0.041,-0.213,0.051,0.045
319.5,0.034,0.034,-0.202,0.05,0.045
320,0.032,0.033,-0.147,0.06,0.042
320.5,0.031,0.043,-0.097,0.064,0.043
321,0.031,0.048,-0.072,0.063,0.039
321.5,0.03,0.05,-0.059,0.072,0.041
322,0.028,0.047,-0.05,0.077,0.035
322.5,0.025,0.052,-0.043,0.069,0.028
323,0.023,0.048,-0.035,0.076,0.034
323.5,0.023,0.04,-0.03,0.07,0.036
324,0.02,0.04,-0.029,0.075,0.041
324.5,0.017,0.038,-0.027,0.07,0.04
325,0.013,0.04,-0.03,0.065,0.04
325.5,0.014,0.036,-0.025,0.062,0.042
326,0.019,0.033,-0.017,0.053,0.038
326.5,0.013,0.035,-0.019,0.066,0.043
327,0.011,0.037,-0.026,0.067,0.039
327.5,0.004,0.037,-0.034,0.067,0.039
328,-0.021,0.031,-0.038,0.054,0.036
328.5,-0.065,0.028,-0.03,0.047,0.032
329,-0.128,0.022,-0.029,0.045,0.035
329.5,-0.178,0.022,-0.032,0.046,0.035
330,-0.189,0.029,-0.036,0.048,0.031
330.5,-0.156,0.032,-0.037,0.052,0.029
331,-0.117,0.034,-0.033,0.052,0.03
331.5,-0.094,0.033,-0.026,0.061,0.029
332,-0.078,0.038,-0.017,0.06,0.023
332.5,-0.053,0.038,-0.011,0.064,0.027
333,-0.044,0.034,-0.006,0.061,0.028
333.5,-0.047,0.032,0.002,0.056,0.031
334,-0.05,0.028,0.011,0.055,0.029
334.5,-0.054,0.029,0.017,0.044,0.027
335,-0.043,0.025,0.036,0.042,0.024
335.5,-0.035,0.025,0.034,0.039,0.011
336,-0.035,0.027,0.033,0.048,-0.017
336.5,-0.034,0.023,0.031,0.046,-0.074
337,-0.036,0.012,0.026,0.039,-0.138
337.5,-0.038,-0.019,0.025,0.039,-0.166
338,-0.037,-0.077,0.025,0.033,-0.144
338.5,-0.032,-0.167,0.033,0.031,-0.097
339,-0.024,-0.239,0.037,0.026,-0.057
339.5,-0.015,-0.244,0.039,0.026,-0.028
340,-0.011,-0.196,0.053,0.027,-0.02
340.5,-0.009,-0.142,0.057,0.031,-0.025
341,-0.011,-0.095,0.063,0.037,-0.027
341.5,-0.02,-0.068,0.063,0.037,-0.024
342,-0.023,-0.058,0.065,0.04,-0.024
342.5,-0.024,-0.051,0.064,0.039,-0.022
343,-0.015,-0.05,0.058,0.035,-0.023
343.5,-0.007,-0.039,0.06,0.036,-0.025
344,0.004,-0.033,0.058,0.032,-0.032
344.5,0.02,-0.03,0.067,0.031,-0.037
345,0.029,-0.029,0.069,0.03,-0.039
345.5,0.029,-0.015,0.066,0.03,-0.033
346,0.022,-0.011,0.065,0.033,-0.028
346.5,0.021,-0.021,0.059,0.03,-0.024
347,0.026,-0.034,0.056,0.032,-0.024
347.5,0.034,-0.047,0.054,0.028,-0.025
348,0.04,-0.041,0.053,0.025,-0.022
348.5,0.045,-0.031,0.057,0.019,-0.012
349,0.051,-0.031,0.058,0.02,-0.012
349.5,0.05,-0.029,0.067,0.022,-0.014
350,0.054,-0.032,0.068,0.024,-0.017
350.5,0.051,-0.036,0.072,0.026,-0.02
351,0.049,-0.037,0.07,0.024,-0.019
351.5,0.054,-0.035,0.069,0.02,-0.008
352,0.055,-0.025,0.071,0.023,0
352.5,0.056,-0.01,0.065,0.024,0.004
353,0.053,0.004,0.063,0.022,0.01
353.5,0.054,0.012,0.064,0.014,0.014
354,0.059,0.019,0.072,-0.008,0.021
354.5,0.06,0.016,0.077,-0.05,0.027
355,0.06,0.024,0.069,-0.114,0.03
355.5,0.06,0.033,0.067,-0.174,0.035
356,0.069,0.033,0.059,-0.171,0.036
356.5,0.071,0.033,0.053,-0.115,0.037
357,0.076,0.029,0.046,-0.065,0.038
357.5,0.078,0.029,0.035,-0.039,0.038
358,0.076,0.03,0.047,-0.028,0.049
358.5,0.079,0.04,0.06,-0.026,0.055
359,0.076,0.043,0.071,-0.035,0.06
359.5,0.074,0.046,0.075,-0.057,0.056
360,0.07,0.055,0.074,-0.056,0.055
360.5,0.065,0.059,0.074,-0.047,0.053
361,0.072,0.063,0.069,-0.031,0.044
361.5,0.07,0.062,0.069,-0.028,0.047
362,0.071,0.062,0.066,-0.028,0.051
362.5,0.064,0.062,0.065,-0.027,0.062
363,0.057,0.059,0.063,-0.021,0.069
363.5,0.054,0.063,0.061,-0.019,0.07
364,0.055,0.058,0.072,-0.027,0.073
364.5,0.059,0.061,0.07,-0.033,0.07
365,0.058,0.065,0.069,-0.022,0.078
365.5,0.061,0.061,0.064,-0.016,0.075
366,0.067,0.057,0.055,-0.017,0.073
366.5,0.07,0.053,0.05,-0.019,0.075
367,0.074,0.055,0.048,-0.02,0.059
367.5,0.075,0.059,0.055,-0.023,0.069
368,0.076,0.061,0.061,-0.024,0.073
368.5,0.073,0.059,0.073,-0.027,0.074
369,0.07,0.061,0.078,-0.021,0.069
369.5,0.07,0.075,0.074,-0.017,0.065
370,0.066,0.078,0.079,-0.014,0.06
370.5,0.079,0.082,0.08,-0.005,0.055
371,0.076,0.086,0.076,0,0.051
371.5,0.073,0.081,0.074,0.007,0.052
372,0.07,0.08,0.065,0.014,0.061
372.5,0.064,0.075,0.062,0.02,0.07
373,0.061,0.074,0.065,0.023,0.063
373.5,0.063,0.069,0.07,0.029,0.073
374,0.062,0.068,0.068,0.033,0.07
374.5,0.065,0.076,0.063,0.037,0.072
375,0.072,0.07,0.056,0.045,0.072
375.5,0.075,0.072,0.045,0.043,0.066
376,0.072,0.063,0.04,0.045,0.064
376.5,0.081,0.064,0.033,0.044,0.06
377,0.078,0.069,0.036,0.043,0.062
377.5,0.077,0.064,0.039,0.037,0.059
378,0.074,0.065,0.04,0.034,0.067
378.5,0.067,0.067,0.044,0.048,0.068
379,0.067,0.074,0.045,0.055,0.059
379.5,0.071,0.075,0.047,0.061,0.061
380,0.073,0.076,0.048,0.064,0.053
380.5,0.071,0.078,0.045,0.069,0.05
381,0.069,0.076,0.043,0.07,0.044
381.5,0.068,0.079,0.038,0.061,0.05
382,0.059,0.072,0.041,0.066,0.064
382.5,0.054,0.072,0.035,0.061,0.068
383,0.045,0.067,0.034,0.061,0.086
383.5,0.04,0.064,0.037,0.062,0.088
384,0.053,0.076,0.034,0.068,0.087
384.5,0.057,0.075,0.036,0.068,0.083
385,0.061,0.071,0.033,0.064,0.07
385.5,0.064,0.064,0.029,0.063,0.065
386,0.065,0.056,0.026,0.057,0.055
386.5,0.065,0.057,0.024,0.051,0.048
387,0.061,0.056,0.025,0.047,0.068
387.5,0.056,0.059,0.028,0.049,0.069
388,0.047,0.06,0.031,0.063,0.071
388.5,0.046,0.068,0.032,0.062,0.065
389,0.049,0.077,0.033,0.068,0.061
389.5,0.05,0.076,0.036,0.073,0.054
390,0.054,0.081,0.033,0.069,0.046
390.5,0.05,0.076,0.033,0.069,0.045
391,0.05,0.074,0.026,0.065,0.049
391.5,0.044,0.073,0.03,0.07,0.064
392,0.036,0.065,0.024,0.068,0.065
392.5,0.028,0.06,0.019,0.066,0.069
393,0.024,0.062,0.024,0.07,0.072
393.5,0.031,0.061,0.026,0.069,0.062
394,0.038,0.065,0.028,0.073,0.061
394.5,0.044,0.066,0.026,0.065,0.055
395,0.045,0.06,0.024,0.063,0.056
395.5,0.047,0.049,0.019,0.058,0.055
396,0.049,0.045,0.013,0.05,0.053
396.5,0.046,0.041,0.019,0.049,0.05
397,0.045,0.048,0.02,0.048,0.05
397.5,0.037,0.054,0.016,0.064,0.057
398,0.033,0.052,-0.001,0.066,0.051
398.5,0.033,0.06,-0.037,0.061,0.047
399,0.032,0.057,-0.091,0.075,0.038
399.5,0.041,0.059,-0.151,0.072,0.032
400,0.043,0.056,-0.168,0.075,0.033
400.5,0.043,0.053,-0.137,0.071,0.039
401,0.037,0.049,-0.092,0.068,0.047
401.5,0.03,0.042,-0.062,0.067,0.047
402,0.026,0.042,-0.048,0.062,0.043
402.5,0.019,0.041,-0.043,0.072,0.05
403,0.017,0.049,-0.038,0.071,0.047
403.5,0.022,0.049,-0.039,0.068,0.051
404,0.029,0.043,-0.041,0.064,0.047
404.5,0.034,0.044,-0.042,0.06,0.044
405,0.034,0.038,-0.043,0.057,0.041
405.5,0.032,0.033,-0.044,0.048,0.035
406,0.021,0.029,-0.041,0.045,0.033
406.5,0.01,0.029,-0.04,0.045,0.036
407,-0.029,0.032,-0.039,0.055,0.04
407.5,-0.099,0.035,-0.04,0.062,0.037
408,-0.164,0.04,-0.039,0.061,0.032
408.5,-0.187,0.043,-0.042,0.07,0.031
409,-0.164,0.041,-0.045,0.074,0.023
409.5,-0.141,0.041,-0.047,0.079,0.02
410,-0.118,0.034,-0.044,0.072,0.02
410.5,-0.103,0.034,-0.036,0.066,0.024
411,-0.092,0.031,-0.028,0.067,0.031
411.5,-0.089,0.028,-0.021,0.06,0.032
412,-0.081,0.027,-0.015,0.063,0.037
412.5,-0.068,0.028,-0.009,0.059,0.037
413,-0.046,0.031,-0.007,0.061,0.033
413.5,-0.031,0.027,-0.003,0.063,0.028
414,-0.022,0.026,-0.002,0.056,0.024
414.5,-0.021,0.022,0.001,0.054,0.021
415,-0.023,0.016,0.004,0.043,0.019
415.5,-0.026,0.013,0.016,0.036,0.006
416,-0.032,0.012,0.023,0.029,-0.008
416.5,-0.034,0.016,0.024,0.03,-0.022
417,-0.037,0.013,0.029,0.037,-0.055
417.5,-0.033,0.004,0.03,0.036,-0.111
418,-0.016,-0.019,0.031,0.041,-0.163
418.5,0.001,-0.061,0.037,0.042,-0.166
419,0.008,-0.12,0.039,0.044,-0.119
419.5,0.001,-0.174,0.043,0.044,-0.065
420,-0.013,-0.192,0.042,0.04,-0.047
420.5,-0.03,-0.165,0.049,0.04,-0.039
421,-0.045,-0.116,0.05,0.032,-0.024
421.5,-0.048,-0.085,0.051,0.025,-0.024
422,-0.042,-0.068,0.057,0.023,-0.028
422.5,-0.031,-0.061,0.052,0.027,-0.029
423,-0.022,-0.046,0.051,0.034,-0.025
423.5,-0.018,-0.032,0.044,0.034,-0.014
424,-0.009,-0.026,0.033,0.035,-0.008
424.5,0,-0.025,0.049,0.03,-0.007
425,0.01,-0.028,0.059,0.025,-0.012
425.5,0.016,-0.032,0.063,0.022,-0.007
426,0.022,-0.039,0.061,0.016,-0.001
426.5,0.026,-0.035,0.071,0.026,-0.005
427,0.029,-0.031,0.075,0.029,-0.013
427.5,0.033,-0.028,0.073,0.03,-0.024
428,0.036,-0.026,0.082,0.037,-0.03
428.5,0.04,-0.029,0.085,0.035,-0.031
429,0.046,-0.024,0.092,0.037,-0.019
429.5,0.052,-0.024,0.089,0.031,-0.018
430,0.05,-0.026,0.082,0.028,-0.02
430.5,0.048,-0.025,0.077,0.02,-0.016
431,0.046,-0.024,0.064,0.011,-0.011
431.5,0.049,-0.021,0.077,0.013,-0.007
432,0.059,-0.017,0.072,0.019,-0.003
432.5,0.061,-0.015,0.069,0.026,-0.001
433,0.066,-0.012,0.06,0.025,0.006
433.5,0.069,-0.008,0.054,0.02,0.014
434,0.069,-0.006,0.048,0.011,0.022
434.5,0.072,-0.007,0.052,-0.015,0.023
435,0.072,-0.006,0.06,-0.074,0.02
435.5,0.076,-0.002,0.059,-0.146,0.026
436,0.073,-0.003,0.064,-0.181,0.036
436.5,0.071,0.009,0.064,-0.176,0.029
437,0.073,0.018,0.068,-0.133,0.028
437.5,0.067,0.025,0.078,-0.092,0.029
438,0.068,0.03,0.074,-0.066,0.035
438.5,0.065,0.04,0.076,-0.055,0.047
439,0.062,0.045,0.072,-0.044,0.047
439.5,0.057,0.052,0.064,-0.032,0.058
440,0.05,0.055,0.063,-0.029,0.059
440.5,0.045,0.059,0.059,-0.026,0.062
441,0.042,0.061,0.07,-0.025,0.071
441.5,0.052,0.067,0.067,-0.029,0.069
442,0.06,0.069,0.061,-0.026,0.072
442.5,0.064,0.062,0.057,-0.015,0.07
443,0.067,0.064,0.049,-0.013,0.071
443.5,0.067,0.06,0.052,-0.02,0.066
444,0.075,0.056,0.055,-0.03,0.061
444.5,0.073,0.05,0.06,-0.038,0.058
445,0.074,0.042,0.064,-0.031,0.064
445.5,0.072,0.056,0.068,-0.026,0.067
446,0.068,0.064,0.077,-0.027,0.065
446.5,0.068,0.069,0.077,-0.034,0.055
447,0.069,0.073,0.082,-0.039,0.061
447.5,0.076,0.077,0.079,-0.037,0.062
448,0.079,0.08,0.074,-0.029,0.064
448.5,0.077,0.073,0.074,-0.022,0.063
449,0.068,0.074,0.064,-0.016,0.06
449.5,0.06,0.068,0.066,-0.009,0.064
450,0.057,0.065,0.066,-0.004,0.065
450.5,0.058,0.067,0.063,0.003,0.068
451,0.06,0.069,0.067,0.011,0.068
451.5,0.064,0.072,0.061,0.027,0.072
452,0.063,0.068,0.059,0.031,0.073
452.5,0.07,0.067,0.05,0.03,0.063
453,0.072,0.061,0.041,0.027,0.066
453.5,0.075,0.055,0.039,0.023,0.062
454,0.075,0.05,0.043,0.022,0.066
454.5,0.075,0.041,0.046,0.023,0.069
455,0.075,0.047,0.05,0.026,0.066
455.5,0.07,0.061,0.059,0.035,0.065
456,0.074,0.07,0.064,0.036,0.059
456.5,0.076,0.076,0.068,0.045,0.057
457,0.075,0.074,0.065,0.052,0.055
457.5,0.076,0.081,0.057,0.055,0.06
458,0.067,0.078,0.058,0.062,0.06
458.5,0.065,0.078,0.05,0.062,0.055
459,0.059,0.076,0.047,0.064,0.064
459.5,0.054,0.07,0.044,0.061,0.066
460,0.049,0.07,0.046,0.058,0.075
460.5,0.056,0.067,0.051,0.057,0.078
461,0.062,0.075,0.051,0.059,0.072
461.5,0.063,0.075,0.051,0.07,0.073
462,0.065,0.071,0.044,0.067,0.069
462.5,0.064,0.069,0.035,0.067,0.071
463,0.066,0.056,0.028,0.062,0.07
463.5,0.067,0.054,0.023,0.053,0.068
464,0.063,0.049,0.033,0.054,0.07
464.5,0.064,0.051,0.037,0.05,0.066
465,0.061,0.064,0.042,0.056,0.068
465.5,0.06,0.071,0.045,0.062,0.062
466,0.055,0.079,0.044,0.064,0.059
466.5,0.056,0.077,0.043,0.067,0.051
467,0.055,0.079,0.039,0.066,0.046
467.5,0.052,0.076,0.036,0.071,0.06
468,0.052,0.071,0.031,0.067,0.059
468.5,0.048,0.068,0.029,0.068,0.07
469,0.044,0.061,0.028,0.067,0.073
469.5,0.039,0.067,0.029,0.056,0.075
470,0.036,0.068,0.037,0.062,0.073
470.5,0.045,0.072,0.036,0.069,0.07
471,0.052,0.071,0.034,0.075,0.073
471.5,0.055,0.067,0.03,0.073,0.069
472,0.055,0.063,0.023,0.064,0.065
472.5,0.051,0.056,0.017,0.059,0.061
473,0.052,0.05,0.008,0.051,0.051
473.5,0.052,0.043,0.014,0.046,0.068
474,0.05,0.041,0.022,0.038,0.065
474.5,0.051,0.057,0.027,0.048,0.062
475,0.049,0.061,0.029,0.063,0.059
475.5,0.046,0.071,0.026,0.067,0.054
476,0.04,0.07,0.029,0.076,0.047
476.5,0.039,0.072,0.022,0.071,0.039
477,0.038,0.067,0.01,0.075,0.049
477.5,0.037,0.06,-0.01,0.071,0.047
478,0.036,0.059,-0.041,0.066,0.051
478.5,0.033,0.051,-0.09,0.065,0.053
479,0.033,0.051,-0.168,0.059,0.053
479.5,0.033,0.049,-0.194,0.062,0.057
480,0.031,0.044,-0.156,0.067,0.053
480.5,0.033,0.049,-0.112,0.067,0.05
481,0.029,0.047,-0.093,0.072,0.044
481.5,0.027,0.048,-0.099,0.064,0.04
482,0.027,0.041,-0.106,0.065,0.04
482.5,0.029,0.035,-0.079,0.057,0.037
483,0.029,0.028,-0.05,0.053,0.042
483.5,0.03,0.025,-0.04,0.049,0.045
484,0.025,0.035,-0.032,0.054,0.039
484.5,0.023,0.039,-0.011,0.061,0.039
485,0.023,0.042,-0.009,0.068,0.034
485.5,0.013,0.045,-0.017,0.078,0.033
486,0.009,0.044,-0.03,0.082,0.027
486.5,0.01,0.047,-0.041,0.08,0.024
487,0.003,0.046,-0.045,0.08,0.027
487.5,-0.01,0.046,-0.028,0.074,0.031
488,-0.035,0.039,-0.019,0.074,0.036
488.5,-0.061,0.035,0,0.068,0.035
489,-0.093,0.036,0.017,0.067,0.039
489.5,-0.113,0.035,0.017,0.068,0.04
490,-0.128,0.042,0.005,0.065,0.035
490.5,-0.136,0.038,-0.009,0.071,0.034
491,-0.131,0.037,-0.023,0.063,0.031
491.5,-0.113,0.035,-0.038,0.058,0.031
492,-0.092,0.03,-0.042,0.048,0.027
492.5,-0.068,0.025,-0.033,0.038,0.029
493,-0.049,0.022,-0.02,0.036,0.028
493.5,-0.036,0.027,-0.003,0.035,0.028
494,-0.028,0.029,0.009,0.042,0.03
494.5,-0.024,0.035,0.016,0.046,0.026
495,-0.024,0.036,0.022,0.045,0.022
495.5,-0.017,0.034,0.027,0.049,0.015
496,-0.01,0.034,0.025,0.046,0.015
496.5,-0.01,0.025,0.024,0.05,0.015
497,-0.016,0.002,0.024,0.045,0.004
497.5,-0.024,-0.061,0.026,0.045,-0.023
498,-0.031,-0.149,0.036,0.042,-0.076
498.5,-0.035,-0.183,0.04,0.04,-0.128
499,-0.034,-0.17,0.052,0.038,-0.146
499.5,-0.031,-0.147,0.05,0.034,-0.111
500,-0.036,-0.114,0.049,0.038,-0.063
500.5,-0.042,-0.084,0.048,0.039,-0.037
501,-0.041,-0.067,0.044,0.037,-0.022
501.5,-0.039,-0.075,0.043,0.034,-0.014
502,-0.034,-0.096,0.037,0.028,-0.019
502.5,-0.029,-0.08,0.047,0.027,-0.021
